awards,imdb_id
3 wins.,tt0109028
4 nominations.,tt0117071
N/A,tt0117788
1 win.,tt0112257
Nominated for 1 Oscar. Another 3 wins & 7 nominations.,tt0116136
N/A,tt0118026
3 wins & 2 nominations.,tt0117117
1 win & 2 nominations.,tt0116168
N/A,tt0111787
2 wins.,tt0112509
1 win.,tt0054189
1 win.,tt0115591
Nominated for 1 Oscar. Another 4 wins & 9 nominations.,tt0116683
1 win & 2 nominations.,tt0116287
4 nominations.,tt0116768
1 nomination.,tt0116269
6 wins & 10 nominations.,tt0114787
Nominated for 1 Oscar. Another 6 wins & 5 nominations.,tt0113720
N/A,tt0112536
Nominated for 1 BAFTA Film Award. Another 8 wins & 1 nomination.,tt0048473
Nominated for 1 BAFTA Film Award. Another 3 wins & 1 nomination.,tt0052572
1 nomination.,tt0117128
N/A,tt0114616
5 wins & 7 nominations.,tt0117705
1 nomination.,tt0062711
N/A,tt0110061
N/A,tt0140614
1 win & 1 nomination.,tt0108181
N/A,tt0114307
1 win.,tt0058898
Nominated for 1 Oscar. Another 2 wins & 10 nominations.,tt0082206
1 win.,tt0111430
N/A,tt0107727
6 nominations.,tt0081759
1 nomination.,tt0113443
5 nominations.,tt0109491
N/A,tt0114048
4 wins & 3 nominations.,tt0111613
1 nomination.,tt0117104
N/A,tt0117688
4 wins & 1 nomination.,tt0109751
N/A,tt0117774
N/A,tt0114736
4 nominations.,tt0112604
N/A,tt0116289
N/A,tt0109593
N/A,tt0103095
1 nomination.,tt0112368
Nominated for 1 Oscar. Another 7 wins & 1 nomination.,tt0104046
Nominated for 3 Oscars. Another 5 wins & 6 nominations.,tt0062952
N/A,tt0115742
1 nomination.,tt0117420
1 win & 2 nominations.,tt0115951
N/A,tt0117784
1 win & 1 nomination.,tt0117107
2 nominations.,tt0117979
Nominated for 1 Golden Globe. Another 1 win & 2 nominations.,tt0095776
N/A,tt0115851
4 nominations.,tt0116322
N/A,tt0109374
4 nominations.,tt0110712
4 wins & 10 nominations.,tt0112817
4 wins & 8 nominations.,tt0113362
N/A,tt0073778
7 wins & 10 nominations.,tt0112546
1 win & 8 nominations.,tt0108500
N/A,tt0117108
1 win & 1 nomination.,tt0113270
4 wins & 7 nominations.,tt0333373
1 win & 2 nominations.,tt0115963
N/A,tt0116448
1 nomination.,tt0116827
1 win.,tt0114894
2 wins & 4 nominations.,tt0112701
4 wins & 3 nominations.,tt0113429
1 nomination.,tt0116508
N/A,tt0117260
Nominated for 1 Oscar. Another 9 wins & 8 nominations.,tt0117500
N/A,tt0116405
8 wins & 5 nominations.,tt0109592
Nominated for 2 Oscars. Another 10 wins & 15 nominations.,tt0117998
1 win & 7 nominations.,tt0115624
N/A,tt0113145
N/A,tt0116559
5 wins & 2 nominations.,tt0113568
1 nomination.,tt0117894
N/A,tt0117723
1 win & 1 nomination.,tt0112586
Won 1 Oscar. Another 18 wins.,tt0112691
1 win.,tt0040366
2 wins & 4 nominations.,tt0117768
1 win & 1 nomination.,tt0115571
N/A,tt0031612
Nominated for 4 Oscars. Another 13 wins & 7 nominations.,tt0057012
1 win.,tt0103926
N/A,tt0105737
N/A,tt0113849
1 win & 1 nomination.,tt0113188
N/A,tt0042644
2 wins & 1 nomination.,tt0109381
9 wins & 12 nominations.,tt0109688
2 wins.,tt0104606
