first_name,last_name,actor_id
 Armand,Assante,a4641
 Jürgen,Prochnow,a63479
Pauly,Shore,a70872
 Tia,Carrere,a15716
 Stanley,Tucci,a77137
 Brian,Doyle-Murray,a24215
Leo,Fitzpatrick,a28013
 Sarah,Henderson,a36042
 Justin,Pierce,a62291
 Joseph,Chan,a16774
Steve,Buscemi,a14147
 Catherine,Keener,a42547
 Danielle von,Zerneck,a83099
Scott,Bakula,a6014
 J. Trevor,Edmond,a25319
 Daniel von,Bargen,a6669
 Kevin J.,O'Connor,a58862
Thomas,Gibson,a31055
 Ruth,Marshall,a51594
 Cameron,Bancroft,a6312
 Mia,Kirshner,a43914
Chris,O'Donnell,a58907
 Drew,Barrymore,a7085
 Richard,Chaim,a16650
Shannen,Doherty,a23658
 Jeremy,London,a48977
 Jason,Lee,a47186
 Claire,Forlani,a28510
Karan,Ashley,a4551
 Johnny Yong,Bosch,a11470
 Steve,Cardenas,a15350
 Jason David,Frank,a28891
Elizabeth,Perkins,a61657
 Whoopi,Goldberg,a31759
 Shadia,Simmons,a71272
 Erica,Luttrell,a49685
Marina,Zudina,a83390
 Fay,Ripley,a65800
 Evan,Richards,a65501
 Oleg,Yankovskiy,a82274
Elina,Löwensohn,a49923
 Nic,Ratner,a64551
 Karl,Geary,a30574
 Peter,Fonda,a28358
Sandra,Bullock,a13773
 Jeremy,Northam,a58492
 Dennis,Miller,a54471
 Diane,Baker,a5885
Hugh,Grant,a32533
Parker,Posey,a63047
 Anthony,DeSando,a22244
 Guillermo,Díaz,a25079
 Donna,Mitchell,a54891
Christopher,Walken,a79252
 Elias,Koteas,a44823
 Virginia,Madsen,a50345
 Eric,Stoltz,a73573
Mia,Farrow,a27068
 Tony,Goldwyn,a31811
 Juana,Barrios,a7016
 Mike,Heibeck,a35840
Julianne,Moore,a55627
 Xander,Berkeley,a8995
 Dean,Norris,a58464
 Julie,Burgess,a13875
 Gary,Oldman,a59380
 Robert,Duvall,a24930
 Lisa,Andoh,a2999
Afrika,Bambaataa,a6270
 Kurtis,Blow,a10603
 Sean 'Diddy',Combs,a19182
 Dr.,Dre,a24300
Elizabeth,Berkley,a9000
 Kyle,MacLachlan,a50082
 Gina,Gershon,a30847
 Glenn,Plummer,a62669
Giancarlo,Esposito,a26358
 José,Zúñiga,a83435
 Stephen,Gevedon,a30898
 Dennis,Quaid,a63819
Ben,Kingsley,a43769
 Michael,Madsen,a50343
 Alfred,Molina,a55232
 Forest,Whitaker,a80527
Robert,Duvall,a24932
 Aidan,Quinn,a63892
 Frances,Fisher,a27925
 Brian,Dennehy,a22665
Ralph,Fiennes,a27676
 Nino,Castelnuovo,a16163
 Anne,Vernon,a78384
 Marc,Michel,a54179
Daryl,Hannah,a34622
 Keith,Carradine,a15696
 Moira,Kelly,a42712
 Vincent,Spano,a72558
Patrick,Swayze,a74426
 Joseph,Mazzello,a52508
 Seth,Mumy,a56476
 Romane,Bohringer,a10877
 Dominique,Blanc,a10297
 Patrick,Swayze,a74425
 John,Leguizamo,a47448
Steven,Seagal,a69590
 Eric,Bogosian,a10850
 Everett,McGill,a52987
 Katherine,Heigl,a35848
Andie,MacDowell,a50044
 Michael,Richards,a65510
Roseanne,Barr,a6915
 Sandra,Bernhard,a9106
 Robert,Best,a9338
 Natane,Boudreau,a11644
 Aitana,Sánchez-Gijón,a74599
 Anthony,Quinn,a63893
 Giancarlo,Giannini,a30986
Kevin,Costner,a19950
 Chaim,Jeraffi,a40101
 Rick,Aviles,a5108
 R.D.,Call,a14774
 Harry,Belafonte,a8145
 Kelly,Lynch,a49770
 Margaret,Avery,a5087
 Ellen,Barkin,a6739
 Diane,Lane,a46290
Albert,Finney,a27835
 Greta,Scacchi,a68861
Daniel,Stern,a73295
 Jon,Polito,a62825
 Brad,Sullivan,a74098
 Ann,Dowd,a24150
Oleg,Menshikov,a53818
 Nikita,Mikhalkov,a54319
 Ingeborga,Dapkunaite,a21597
 Nadezhda,Mikhalkova,a54322
Grégoire,Colin,a18986
 Josif,Josifovski,a40930
 Boris,Delcevski,a22474
 Dejan,Velkov,a78239
Ethan,Hawke,a35479
 Julie,Delpy,a22539
 Andrea,Eckert,a25266
 Hanno,Pöschl,a63784
 Darren,McGavin,a52967
 Bridgette,Wilson-Sampras,a81247
 Bradley,Whitford,a80629
 J.T.,Walsh,a79402
 Lee,Garlington,a30284
Whoopi,Goldberg,a31762
 Mary-Louise,Parker,a60725
 Matthew,McConaughey,a52734
Brad,Renfro,a65157
 Aeryk,Egan,a25429
 Delphine,French,a29125
 Mona,Powell,a63164
Jeffrey,Combs,a19184
 Barbara,Crampton,a20251
 Jonathan,Fuller,a29509
 Jessica,Dollarhide,a23706
 Minnie,Driver,a24362
 Geraldine,O'Rawe,a59055
 Saffron,Burrows,a14071
Brian,O'Halloran,a58932
 Jeff,Anderson,a2850
 Marilyn,Ghigliotti,a30932
 Lisa,Spoonauer,a72729
Marlon,Brando,a12204
 Johnny,Depp,a22738
 Géraldine,Pailhas,a60157
 Demi,Moore,a55548
 Donald,Sutherland,a74272
Patsy,Kensit,a42907
 Bruce,Greenwood,a32820
 Andrew,McCarthy,a52641
 Denise,Crosby,a20485
 Gary,Busey,a14158
 Yancy,Butler,a14276
 Michael,Jeter,a40140
Dylan,McDermott,a52851
 Nancy,Travis,a76756
 James Le,Gros,a33154
 Ben,Kingsley,a43764
 Stuart,Wilson,a81210
 Krystia,Mova,a56259
Kathy,Bates,a7442
 Jennifer Jason,Leigh,a47497
 Judy,Parfitt,a60608
 Christopher,Plummer,a62668
 Jeff,Daniels,a21515
 Mike,Starr,a73012
Sihung,Lung,a49624
 Yu-Wen,Wang,a79547
 Chien-Lien,Wu,a81911
 Kuei-Mei,Yang,a82243
Bruce,Greenwood,a32831
 Don,McKellar,a53160
Dana,Delany,a22463
 Paul,Mercurio,a53884
 Dan,Aykroyd,a5203
 Martin,Landau,a46218
 Sarah Jessica,Parker,a60736
Meg,Ryan,a67582
 Kevin,Kline,a44131
 Timothy,Hutton,a38387
 Jean,Reno,a65180
Billy,Crystal,a20637
 Debra,Winger,a81306
 Cynthia,Stevenson,a73362
Mimi,Rogers,a66492
 Bruce,Davison,a22037
 Tom,Bower,a11790
Bill,Farmer,a27000
 Jason,Marsden,a51541
 Kellie,Martin,a51691
Jeff,Goldblum,a31764
 Alicia,Silverstone,a71218
 Jeremy,Sisto,a71507
Samuel L.,Jackson,a39426
Stefano,Dionisi,a23404
 Enrico Lo,Verso,a78415
 Elsa,Zylberstein,a83425
 Caroline,Cellier,a16482
Doug,Stone,a73615
 Kristy,Young,a82596
 James,Donadio,a23780
 Deborah,Hobart,a36959
Dal,McKennon,a53182
 Art,Clokey,a18586
 Gloria,Clokey,a18587
 Manny La,Carruba,a15785
Erich,Anderson,a2924
 Richard,Anderson,a2891
 Thomas,Babson,a5409
 Monty,Bane,a6354
William,Gates,a30449
 Arthur,Agee,a938
 Emma,Gates,a30442
 Curtis,Gates,a30441
Melanie,Lynskey,a49815
 Sarah,Peirse,a61410
 Diana,Kent,a42910
Sinbad,Sinbad,a71376
 Phil,Hartman,a35206
 Kim,Greist,a32902
 Kim,Murphy,a56616
Gary,Oldman,a59381
 Jeroen,Krabbé,a44948
 Isabella,Rossellini,a66934
 Johanna ter,Steege,a73081
David,Goldman,a31782
 Joseph Wayne,Miller,a54491
 Cody,Burger,a13869
 Allen,Covert,a20098
 John,Lone,a48987
 Joan,Chen,a17285
 Yoshio,Harada,a34735
Tim,Robbins,a65994
 Meg,Ryan,a67553
